verb,resource,delegated,appPerms
GET   ,/teams/{id}/channels/{id}/messages/{id},"Group.Read.All,
Group.ReadWrite.All,
ChannelMessage.Read.All","Group.Read.All,
Group.ReadWrite.All,
ChannelMessage.Read.All"
GET   ,/teams/{id}/channels/{id}/messages/{id}/hostedContents,"Group.Read.All,
Group.ReadWrite.All,
ChannelMessage.Read.All","Group.Read.All,
Group.ReadWrite.All,
ChannelMessage.Read.All"
GET   ,/teams/{id}/channels/{id}/messages/{id}/hostedContents/{id},"Group.Read.All,
Group.ReadWrite.All,
ChannelMessage.Read.All","Group.Read.All,
Group.ReadWrite.All,
ChannelMessage.Read.All"
GET   ,/teams/{id}/channels/{id}/messages/{id}/replies,"Group.Read.All,
Group.ReadWrite.All,
ChannelMessage.Read.All","Group.Read.All,
Group.ReadWrite.All,
ChannelMessage.Read.All"
POST  ,/teams/{id}/channels/{id}/messages/{id}/replies,"Group.ReadWrite.All,
ChannelMessage.Send",
GET   ,/teams/{id}/channels/{id}/messages/{id}/replies/{id},"Group.Read.All,
Group.ReadWrite.All,
ChannelMessage.Read.All","Group.Read.All,
Group.ReadWrite.All,
ChannelMessage.Read.All"
GET   ,/teams/{id}/channels/{id}/messages/delta,"Group.Read.All,
Group.ReadWrite.All,
ChannelMessage.Read.All","Group.Read.All,
Group.ReadWrite.All,
ChannelMessage.Read.All"
GET   ,/teams/{id}/channels/{id}/tabs,"Group.Read.All,
Group.ReadWrite.All,
TeamsTab.Read.All,
TeamsTab.ReadWrite.All","Group.Read.All,
Group.ReadWrite.All,
TeamsTab.Read.All,
TeamsTab.ReadWrite.All"
POST  ,/teams/{id}/channels/{id}/tabs,"Group.ReadWrite.All,
TeamsTab.Create,
TeamsTab.ReadWrite.All","Group.ReadWrite.All,
TeamsTab.Create,
TeamsTab.ReadWrite.All"
GET   ,/teams/{id}/channels/{id}/tabs/{id},"Group.Read.All,
Group.ReadWrite.All,
TeamsTab.Read.All,
TeamsTab.ReadWrite.All","Group.Read.All,
Group.ReadWrite.All,
TeamsTab.Read.All,
TeamsTab.ReadWrite.All"
PATCH ,/teams/{id}/channels/{id}/tabs/{id},"Group.ReadWrite.All,
TeamsTab.ReadWrite.All","Group.ReadWrite.All,
TeamsTab.ReadWrite.All"
DELETE,/teams/{id}/channels/{id}/tabs/{id},"Group.ReadWrite.All,
TeamsTab.ReadWrite.All","Group.ReadWrite.All,
TeamsTab.ReadWrite.All"
POST  ,/teams/{id}/clone,"Group.ReadWrite.All,
Team.Create + {depending on what parts they clone: TeamSettings.Read.All,
TeamsApp.Read.All,
TeamMember.Read.All,
TeamsTab.Read.All,
ChannelSettings.Read.All,
or the ReadWrite varieties: TeamSettings.ReadWrite.All,
TeamsApp.ReadWrite.All,
TeamMember.ReadWrite.All,
TeamsTab.ReadWrite.All,
ChannelSettings.ReadWrite.All}","Group.ReadWrite.All,"
GET   ,/teams/{id}/installedApps,"Group.Read.All,
Group.ReadWrite.All,
TeamsAppInstallation.ReadForTeam,
TeamsAppInstallation.ReadWriteForTeam","Group.Read.All,
Group.ReadWrite.All,
TeamsAppInstallation.ReadForTeam.All,
TeamsAppInstallation.ReadWriteForTeam.All"
GET   ,/teams/{id}/installedApps/{id},"Group.Read.All,
Group.ReadWrite.All,
TeamsAppInstallation.ReadForTeam,
TeamsAppInstallation.ReadWriteForTeam","Group.Read.All,
Group.ReadWrite.All,
TeamsAppInstallation.ReadForTeam.All,
TeamsAppInstallation.ReadWriteForTeam.All"
POST  ,/teams/{id}/installedApps,"Group.ReadWrite.All,
TeamsAppInstallation.ReadWriteForTeam","Group.ReadWrite.All,
TeamsAppInstallation.ReadWriteForTeam.All"
DELETE,/teams/{id}/installedApps/{id},"Group.ReadWrite.All,
TeamsAppInstallation.ReadWriteForTeam","Group.ReadWrite.All,
TeamsAppInstallation.ReadWriteForTeam.All"
POST  ,/teams/{id}/installedApps/{id}/upgrade,"Group.ReadWrite.All,
TeamsAppInstallation.ReadWriteForTeam","Group.ReadWrite.All,
TeamsAppInstallation.ReadWriteForTeam.All"
POST  ,/teams/{id}/offerShiftRequests,,
GET   ,/teams/{id}/schedule,,
PUT   ,/teams/{id}/schedule,,
GET   ,/teams/{id}/schedule/openShifts,,
POST  ,/teams/{id}/schedule/openShifts,,
GET   ,/teams/{id}/schedule/openShifts/{openShiftId},,
PUT   ,/teams/{id}/schedule/openShifts/{openShiftId},,
DELETE,/teams/{id}/schedule/openShifts/{openShiftId},,
GET   ,/teams/{id}/schedule/openShiftsChangeRequests,,
POST  ,/teams/{id}/schedule/openShiftsChangeRequests,,
GET   ,/teams/{id}/schedule/openShiftsChangeRequests/{openShiftsChangeRequestId},,
POST  ,/teams/{id}/schedule/openShiftsChangeRequests/approve,,
POST  ,/teams/{id}/schedule/openShiftsChangeRequests/decline,,
GET   ,/teams/{id}/schedule/schedulingGroups,,
POST  ,/teams/{id}/schedule/schedulingGroups,,
GET   ,/teams/{id}/schedule/schedulingGroups/{schedulingGroupId},,
PUT   ,/teams/{id}/schedule/schedulingGroups/{schedulingGroupId},,
DELETE,/teams/{id}/schedule/schedulingGroups/{schedulingGroupId},,
POST  ,/teams/{id}/schedule/share,,
GET   ,/teams/{id}/schedule/shifts,,
POST  ,/teams/{id}/schedule/shifts,,
GET   ,/teams/{id}/schedule/shifts/{shiftId},,
PUT   ,/teams/{id}/schedule/shifts/{shiftId},,
DELETE,/teams/{id}/schedule/shifts/{shiftId},,
GET   ,/teams/{id}/schedule/swapShiftsChangeRequests,,
POST  ,/teams/{id}/schedule/swapShiftsChangeRequests,,
POST  ,/teams/{id}/schedule/swapShiftsChangeRequests/approve,,
GET   ,/teams/{id}/schedule/timeOffReasons,,
POST  ,/teams/{id}/schedule/timeOffReasons,,
GET   ,/teams/{id}/schedule/timeOffReasons/{timeOffReasonId},,
PUT   ,/teams/{id}/schedule/timeOffReasons/{timeOffReasonId},,
DELETE,/teams/{id}/schedule/timeOffReasons/{timeOffReasonId},,
GET   ,/teams/{id}/schedule/timeOffRequests,,
PATCH ,/teams/{id}/schedule/timeOffRequests,,
DELETE,/teams/{id}/schedule/timeOffRequests,,
POST  ,/teams/{id}/schedule/timeOffRequests/approve,,
POST  ,/teams/{id}/schedule/timeOffRequests/decline,,
GET   ,/teams/{id}/schedule/timesOff,,
POST  ,/teams/{id}/schedule/timesOff,,
GET   ,/teams/{id}/schedule/timesOff/{timeOffId},,
PUT   ,/teams/{id}/schedule/timesOff/{timeOffId},,
DELETE,/teams/{id}/schedule/timesOff/{timeOffId},,
POST  ,/teams/{id}/unarchive,"Directory.ReadWrite.All,
Group.ReadWrite.All,
TeamSettings.ReadWrite.All","TeamSettings.Edit.Group,
Directory.ReadWrite.All,
Group.ReadWrite.All,
TeamSettings.ReadWrite.All"
GET   ,/teams/schedule/offerShiftRequests,,
POST  ,/teams/schedule/offerShiftRequests/approve,,
POST  ,/teams/schedule/offerShiftRequests/decline,,
GET   ,/teamwork/workforceIntegrations,,
POST  ,/teamwork/workforceIntegrations,,
PATCH ,/teamwork/workforceIntegrations,,
DELETE,/teamwork/workforceIntegrations,,
GET   ,/users/{id}/chats,"Chat.Read,
Chat.ReadWrite,
Chat.ReadBasic","Chat.Read.All,
Chat.ReadWrite.All,
Chat.ReadBasic.All"
GET   ,/users/{id}/chats/{id},"Chat.Read,
Chat.ReadWrite,
Chat.ReadBasic","Chat.Read.All,
Chat.ReadWrite.All,
Chat.ReadBasic.All"
GET   ,/users/{id}/chats/{id}/members,"Chat.Read,
Chat.ReadWrite,
Chat.ReadBasic","Chat.Read.All,
Chat.ReadWrite.All,
Chat.ReadBasic.All"
GET   ,/users/{id}/chats/{id}/members/{id},"Chat.Read,
Chat.ReadWrite,
Chat.ReadBasic","Chat.Read.All,
Chat.ReadWrite.All,
Chat.ReadBasic.All"
GET   ,/users/{id}/chats/{id}/messages,"Chat.Read,
Chat.ReadWrite,
","Chat.Read.All,
Chat.ReadWrite.All,
"
POST  ,/users/{id}/chats/{id}/messages,"Chat.ReadWrite,
ChatMessage.Send","Chat.ReadWrite.All,
"
GET   ,/users/{id}/chats/{id}/messages/{id},"Chat.Read,
Chat.ReadWrite,
","Chat.Read.All,
Chat.ReadWrite.All,
"
GET   ,/users/{id}/chats/{id}/messages/{id}/hostedContents,"Chat.Read,
Chat.ReadWrite,
","Chat.Read.All,
Chat.ReadWrite.All,
"
GET   ,/users/{id}/chats/{id}/messages/{id}/hostedContents/{id},"Chat.Read,
Chat.ReadWrite,
","Chat.Read.All,
Chat.ReadWrite.All,
"
GET   ,/users/{id}/joinedTeams,"Directory.Read.All,
Directory.ReadWrite.All,
User.Read.All,
User.ReadWrite.All,
Team.ReadBasic.All,
TeamSettings.Read.All,
TeamSettings.ReadWrite.All","Directory.Read.All,
Directory.ReadWrite.All,
User.Read.All,
User.ReadWrite.All,
Team.ReadBasic.All,
TeamSettings.Read.All,
TeamSettings.ReadWrite.All"
GET   ,/users/{id}/presence,,
GET   ,/users/{id}/teamwork/installedApps,"TeamsApp.Read.All,
TeamsApp.ReadWrite.All,
User.Read.All,
User.ReadWrite.All,
Directory.Read.All,
Directory.ReadWrite.All,
TeamsAppInstallation.ReadForTeam,
TeamsAppInstallation.ReadWriteSelfForTeam","TeamsApp.Read.All,
TeamsApp.ReadWrite.All,
User.Read.All,
User.ReadWrite.All,
Directory.Read.All,
Directory.ReadWrite.All,
TeamsAppInstallation.ReadForTeam.All,
TeamsAppInstallation.ReadWriteSelfForTeam.All"
GET   ,/users/{id}/teamwork/installedApps/{id},"TeamsApp.Read.All,
TeamsApp.ReadWrite.All,
User.Read.All,
User.ReadWrite.All,
Directory.Read.All,
Directory.ReadWrite.All,
TeamsAppInstallation.ReadForTeam,
TeamsAppInstallation.ReadWriteSelfForTeam","TeamsApp.Read.All,
TeamsApp.ReadWrite.All,
User.Read.All,
User.ReadWrite.All,
Directory.Read.All,
Directory.ReadWrite.All,
TeamsAppInstallation.ReadForTeam.All,
TeamsAppInstallation.ReadWriteSelfForTeam.All"
POST  ,/users/{id}/teamwork/installedApps,"TeamsApp.ReadWrite.All,
User.ReadWrite.All,
Directory.ReadWrite.All,
TeamsAppInstallation.ReadWriteSelfForTeam","TeamsApp.ReadWrite.All,
User.ReadWrite.All,
Directory.ReadWrite.All,
TeamsAppInstallation.ReadWriteSelfForTeam.All"
DELETE,/users/{id}/teamwork/installedApps/{id},"TeamsApp.ReadWrite.All,
User.ReadWrite.All,
Directory.ReadWrite.All,
TeamsAppInstallation.ReadWriteSelfForTeam","TeamsApp.ReadWrite.All,
User.ReadWrite.All,
Directory.ReadWrite.All,
TeamsAppInstallation.ReadWriteSelfForTeam.All"
POST  ,/users/{id}/teamwork/installedApps/{id}/upgrade,"TeamsApp.ReadWrite.All,
User.ReadWrite.All,
Directory.ReadWrite.All,
TeamsAppInstallation.ReadWriteSelfForTeam","TeamsApp.ReadWrite.All,
User.ReadWrite.All,
Directory.ReadWrite.All,
TeamsAppInstallation.ReadWriteSelfForTeam.All"
POST  ,https://bot.contoso.com/api/calls,,
POST,NOT YET IN BETA /teamwork/microsoft.teams.graphsvc.generateactivitynotification,"TeamsActivity.Send,
Directory.ReadWrite.All,
","TeamsActivity.Send,
Directory.ReadWrite.All,
"
