Method,Path,Delegated Permissions,App Permissions,Owner,In v1.0,Has Granular Permissions,v1.0 + granular,Doc link
GET   ,/users/{id}/onlineMeetings?$filter=JoinWebUrl%20eq%20'{joinWebUrl}',OnlineMeetingArtifact.Read.All  OnlineMeetings.Read  OnlineMeetings.ReadWrite,OnlineMeetingArtifact.Read.All  OnlineMeetings.Read.All  OnlineMeetings.ReadWrite.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/onlinemeeting-get?view=graph-rest-beta
POST  ,/users/{id}/onlineMeetings,OnlineMeetings.ReadWrite,OnlineMeetings.ReadWrite.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/application-post-onlinemeetings?view=graph-rest-beta
GET   ,/users/{id}/onlineMeetings/{id},OnlineMeetingArtifact.Read.All  OnlineMeetings.Read  OnlineMeetings.ReadWrite,OnlineMeetingArtifact.Read.All  OnlineMeetings.Read.All  OnlineMeetings.ReadWrite.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/onlinemeeting-get?view=graph-rest-beta
PATCH ,/users/{id}/onlineMeetings/{id},OnlineMeetings.ReadWrite,OnlineMeetings.ReadWrite.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/onlinemeeting-update?view=graph-rest-beta
DELETE,/users/{id}/onlineMeetings/{id},OnlineMeetings.ReadWrite,OnlineMeetings.ReadWrite.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/onlinemeeting-delete?view=graph-rest-beta
GET   ,/users/{id}/onlineMeetings/{id}/alternativeRecording,OnlineMeetingArtifact.Read.All  OnlineMeetings.Read  OnlineMeetings.ReadWrite,OnlineMeetingArtifact.Read.All  OnlineMeetings.Read.All  OnlineMeetings.ReadWrite.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/onlinemeeting-get?view=graph-rest-beta
GET   ,/users/{id}/onlineMeetings/{id}/attendanceReports,OnlineMeetingArtifact.Read.All,OnlineMeetingArtifact.Read.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/meetingattendancereport-list?view=graph-rest-beta
GET   ,/users/{id}/onlineMeetings/{id}/attendanceReports/{reportId},OnlineMeetingArtifact.Read.All,OnlineMeetingArtifact.Read.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/meetingattendancereport-get?view=graph-rest-beta
GET   ,/users/{id}/onlineMeetings/{id}/attendanceReports/{reportId}/attendanceRecords,OnlineMeetingArtifact.Read.All,OnlineMeetingArtifact.Read.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/attendancerecord-list?view=graph-rest-beta
GET   ,/users/{id}/onlineMeetings/{id}/attendeeReport,OnlineMeetingArtifact.Read.All  OnlineMeetings.Read  OnlineMeetings.ReadWrite,OnlineMeetingArtifact.Read.All  OnlineMeetings.Read.All  OnlineMeetings.ReadWrite.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/onlinemeeting-get?view=graph-rest-beta
GET   ,/users/{id}/onlineMeetings/{id}/meetingAttendanceReport,OnlineMeetingArtifact.Read.All,OnlineMeetingArtifact.Read.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/meetingattendancereport-get?view=graph-rest-beta
GET   ,/users/{id}/onlineMeetings/{id}/recording,OnlineMeetingArtifact.Read.All  OnlineMeetings.Read  OnlineMeetings.ReadWrite,OnlineMeetingArtifact.Read.All  OnlineMeetings.Read.All  OnlineMeetings.ReadWrite.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/onlinemeeting-get?view=graph-rest-beta
GET   ,/users/{id}/onlineMeetings/{id}/registration,OnlineMeetings.Read  OnlineMeetings.ReadWrite,OnlineMeetings.Read.All  OnlineMeetings.ReadWrite.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/externalmeetingregistration-get?view=graph-rest-beta
POST  ,/users/{id}/onlineMeetings/{id}/registration,OnlineMeetings.ReadWrite,OnlineMeetings.ReadWrite.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/externalmeetingregistration-post?view=graph-rest-beta
DELETE,/users/{id}/onlineMeetings/{id}/registration,OnlineMeetings.ReadWrite,OnlineMeetings.ReadWrite.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/externalmeetingregistration-delete?view=graph-rest-beta
GET   ,/users/{id}/onlineMeetings/{id}/registration/registrants,OnlineMeetings.ReadWrite,OnlineMeetings.ReadWrite.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/externalmeetingregistrant-list?view=graph-rest-beta
POST  ,/users/{id}/onlineMeetings/{id}/registration/registrants,OnlineMeetings.ReadWrite,OnlineMeetings.ReadWrite.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/externalmeetingregistrant-post?view=graph-rest-beta
